description,price,image_url
Gold Stacked Pendant Necklace with Black Drop, 550,https://img.faballey.com/Images/Product/ZNE00008/1.jpg
Gold Purple Stone Pendant Necklace, 1100,https://img.faballey.com/Images/Product/ZNE00011/1.jpg
Red Green Beaded Kundan Necklace, 700,https://img.faballey.com/Images/Product/ZNE00016/1.jpg
Gold Kundan Necklace With Green Beads, 1400,https://img.faballey.com/Images/Product/ZNE00005/1.jpg
